time_boot_ms,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
73816.825,0,1,7800,0,0,99.99,0,0,-17,0,0,0,0,1
74016.774,0,1,8000,0,0,99.99,0,0,-17,0,0,0,0,1
74216.714,0,1,8200,0,0,99.99,0,0,-17,0,0,0,0,1
74416.777,0,1,8400,0,0,99.99,0,0,-17,0,0,0,0,1
74616.725,0,1,8600,0,0,99.99,0,0,-17,0,0,0,0,1
74817.337,0,1,8800,0,0,99.99,0,0,-17,0,0,0,0,1
75017.329,0,1,9000,0,0,99.99,0,0,-17,0,0,0,0,1
75217.433,0,1,225743662,0,0,99.99,0,0,-17,0,0,0,0,1
75417.305,0,1,225743862,0,0,99.99,0,0,-17,0,0,0,0,1
75557.047,0,1,225744000,0,0,99.99,0,0,-17,0,0,0,0,1
75757.149,0,1,225744200,0,0,99.99,0,0,-17,0,0,0,0,1
75957.062,0,1,225744400,0,0,99.99,0,0,-17,0,0,0,0,1
76157.062,0,1,225744600,0,0,99.99,0,0,-17,0,0,0,0,1
76357.063,0,1,225744800,0,0,99.99,0,0,-17,0,0,0,0,1
76556.997,0,1,225745000,0,0,99.99,0,0,-17,0,0,0,0,1
76756.989,0,1,225745200,0,0,99.99,0,0,-17,0,0,0,0,1
76957.025,0,1,225745400,0,0,99.99,0,0,-17,0,0,0,0,1
77156.991,0,1,225745600,0,0,99.99,0,0,-17,0,0,0,0,1
77357.31,0,1,225745800,0,0,99.99,0,0,-17,0,0,0,0,1
77557.11,0,1,225746000,0,0,99.99,0,0,-17,0,0,0,0,1
77757.138,0,1,225746200,0,0,99.99,0,0,-17,0,0,0,0,1
77957.099,0,1,225746400,0,0,99.99,0,0,-17,0,0,0,0,1
78157.006,0,1,225746600,0,0,99.99,0,0,-17,0,0,0,0,1
78357.035,0,1,225746800,0,0,99.99,0,0,-17,0,0,0,0,1
78556.968,0,1,225747000,0,0,99.99,0,0,-17,0,0,0,0,1
78757.107,0,1,225747200,0,0,99.99,0,0,-17,0,0,0,0,1
78957.103,0,1,225747400,0,0,99.99,0,0,-17,0,0,0,0,1
79157.079,0,1,225747600,0,0,99.99,0,0,-17,0,0,0,0,1
79357.224,0,1,225747800,0,0,99.99,0,0,-17,0,0,0,0,1
79557.112,0,1,225748000,0,0,99.99,0,0,-17,0,0,0,0,1
79757.099,0,1,225748200,0,0,99.99,0,0,-17,0,0,0,0,1
79957.024,0,1,225748400,0,0,99.99,0,0,-17,0,0,0,0,1
80157.043,0,1,225748600,0,0,99.99,0,0,-17,0,0,0,0,1
80357.103,0,1,225748800,0,0,99.99,0,0,-17,0,0,0,0,1
80557.061,0,1,225749000,0,0,99.99,0,0,-17,0,0,0,0,1
80757.098,0,1,225749200,0,0,99.99,0,0,-17,0,0,0,0,1
80957.119,0,1,225749400,0,0,99.99,0,0,-17,0,0,0,0,1
81157.141,0,1,225749600,0,0,99.99,0,0,-17,0,0,0,0,1
81357.048,0,1,225749800,0,0,99.99,0,0,-17,0,0,0,0,1
81556.995,0,1,225750000,0,0,99.99,0,0,-17,0,0,0,0,1
81757.109,0,1,225750200,0,0,99.99,0,0,-17,0,0,0,0,1
81957.066,0,1,225750400,0,0,99.99,0,0,-17,0,0,0,0,1
82157.06,0,1,225750600,0,0,99.99,0,0,-17,0,0,0,0,1
82357.134,0,1,225750800,0,0,99.99,0,0,-17,0,0,0,0,1
82557.104,0,1,225751000,0,0,99.99,0,0,-17,0,0,0,0,1
82757.152,0,1,225751200,0,0,99.99,0,0,-17,0,0,0,0,1
82957.131,0,1,225751400,0,0,99.99,0,0,-17,0,0,0,0,1
83157,0,1,225751600,0,0,99.99,0,0,-17,0,0,0,0,1
83357.112,0,1,225751800,0,0,99.99,0,0,-17,0,0,0,0,1
83557.146,0,1,225752000,0,0,99.99,0,0,-17,0,0,0,0,1
83757.134,0,1,225752200,0,0,99.99,0,0,-17,0,0,0,0,1
83957.065,0,1,225752400,0,0,99.99,0,0,-17,0,0,0,0,1
84157.082,0,1,225752600,0,0,99.99,0,0,-17,0,0,0,0,1
84357.028,0,1,225752800,0,0,99.99,0,0,-17,0,0,0,0,1
84557.081,0,1,225753000,0,0,99.99,0,0,-17,0,0,0,0,1
84757.145,0,1,225753200,0,0,99.99,0,0,-17,0,0,0,0,1
84957.032,0,1,225753400,0,0,99.99,0,0,-17,0,0,0,0,1
85157.036,0,1,225753600,0,0,99.99,0,0,-17,0,0,0,0,1
85357.086,0,1,225753800,0,0,99.99,0,0,-17,0,0,0,0,1
85557.102,0,1,225754000,0,0,99.99,0,0,-17,0,0,0,0,1
85757.132,0,1,225754200,0,0,99.99,0,0,-17,0,0,0,0,1
85957.018,0,1,225754400,0,0,99.99,0,0,-17,0,0,0,0,1
86157.02,0,1,225754600,0,0,99.99,0,0,-17,0,0,0,0,1
86357.069,0,1,225754800,0,0,99.99,0,0,-17,0,0,0,0,1
86557.074,0,1,225755000,0,0,99.99,0,0,-17,0,0,0,0,1
86757.097,0,1,225755200,0,0,99.99,0,0,-17,0,0,0,0,1
86957.061,0,1,225755400,0,0,99.99,0,0,-17,0,0,0,0,1
87157.138,0,1,225755600,0,0,99.99,0,0,-17,0,0,0,0,1
87357.091,0,1,225755800,0,0,99.99,0,0,-17,0,0,0,0,1
87557.025,0,1,225756000,0,0,99.99,0,0,-17,0,0,0,0,1
87757.163,0,1,225756200,0,0,99.99,0,0,-17,0,0,0,0,1
87957.006,0,1,225756400,0,0,99.99,0,0,-17,0,0,0,0,1
88157.111,0,1,225756600,0,0,99.99,0,0,-17,0,0,0,0,1
88357.169,0,1,225756800,0,0,99.99,0,0,-17,0,0,0,0,1
88557.065,0,1,225757000,0,0,99.99,0,0,-17,0,0,0,0,1
88757.138,0,1,225757200,0,0,99.99,0,0,-17,0,0,0,0,1
88957.054,0,1,225757400,0,0,99.99,0,0,-17,0,0,0,0,1
89156.983,0,1,225757600,0,0,99.99,0,0,-17,0,0,0,0,1
89357.052,0,1,225757800,0,0,99.99,0,0,-17,0,0,0,0,1
89557.022,0,1,225758000,0,0,99.99,0,0,-17,0,0,0,0,1
89757.082,0,1,225758200,0,0,99.99,0,0,-17,0,0,0,0,1
89957.126,0,1,225758400,0,0,99.99,0,0,-17,0,0,0,0,1
90157.142,0,1,225758600,0,0,99.99,0,0,-17,0,0,0,0,1
90357.125,0,1,225758800,0,0,99.99,0,0,-17,0,0,0,0,1
90557.08,0,1,225759000,0,0,99.99,0,0,-17,0,0,0,0,1
90757.043,0,1,225759200,0,0,99.99,0,0,-17,0,0,0,0,1
90956.979,0,1,225759400,0,0,99.99,0,0,-17,0,0,0,0,1
91157.04,0,1,225759600,0,0,99.99,0,0,-17,0,0,0,0,1
91357.092,0,1,225759800,0,0,99.99,0,0,-17,0,0,0,0,1
91557.045,0,1,225760000,0,0,99.99,0,0,-17,0,0,0,0,1
91757.129,0,1,225760200,0,0,99.99,0,0,-17,0,0,0,0,1
91957.219,0,1,225760400,0,0,99.99,0,0,-17,0,0,0,0,1
92157.03,0,1,225760600,0,0,99.99,0,0,-17,0,0,0,0,1
92356.942,0,1,225760800,0,0,99.99,0,0,-17,0,0,0,0,1
92556.983,0,1,225761000,0,0,99.99,0,0,-17,0,0,0,0,1
92757.055,0,1,225761200,0,0,99.99,0,0,-17,0,0,0,0,1
92957.129,0,1,225761400,0,0,99.99,0,0,-17,0,0,0,0,1
93157.059,0,1,225761600,0,0,99.99,0,0,-17,0,0,0,0,1
93357.076,0,1,225761800,0,0,99.99,0,0,-17,0,0,0,0,1
93557.12,0,1,225762000,0,0,99.99,0,0,-17,0,0,0,0,1
93757.174,0,1,225762200,0,0,99.99,0,0,-17,0,0,0,0,1
93957.034,0,1,225762400,0,0,99.99,0,0,-17,0,0,0,0,1
94157.033,0,1,225762600,0,0,99.99,0,0,-17,0,0,0,0,1
94357.039,0,1,225762800,0,0,99.99,0,0,-17,0,0,0,0,1
94557.016,0,1,225763000,0,0,99.99,0,0,-17,0,0,0,0,1
94757.081,0,1,225763200,0,0,99.99,0,0,-17,0,0,0,0,1
94957.11,0,1,225763400,0,0,99.99,0,0,-17,0,0,0,0,1
95157.104,0,1,225763600,0,0,99.99,0,0,-17,0,0,0,0,1
95357.052,0,1,225763800,0,0,99.99,0,0,-17,0,0,0,0,1
95557.063,0,1,225764000,0,0,99.99,0,0,-17,0,0,0,0,1
95757.039,0,1,225764200,0,0,99.99,0,0,-17,0,0,0,0,1
95957.061,0,1,225764400,0,0,99.99,0,0,-17,0,0,0,0,1
96157.239,0,1,225764600,0,0,99.99,0,0,-17,0,0,0,0,1
96357.089,0,1,225764800,0,0,99.99,0,0,-17,0,0,0,0,1
96557.119,0,1,225765000,0,0,99.99,0,0,-17,0,0,0,0,1
96757.13,0,1,225765200,0,0,99.99,0,0,-17,0,0,0,0,1
96957.004,0,1,225765400,0,0,99.99,0,0,-17,0,0,0,0,1
97157.05,0,1,225765600,0,0,99.99,0,0,-17,0,0,0,0,1
97357.116,0,1,225765800,0,0,99.99,0,0,-17,0,0,0,0,1
97557.089,0,1,225766000,0,0,99.99,0,0,-17,0,0,0,0,1
97757.153,0,1,225766200,0,0,99.99,0,0,-17,0,0,0,0,1
97957.063,0,1,225766400,0,0,99.99,0,0,-17,0,0,0,0,1
98157.115,0,1,225766600,0,0,99.99,0,0,-17,0,0,0,0,1
98357.129,0,1,225766800,0,0,99.99,0,0,-17,0,0,0,0,1
98556.974,0,1,225767000,0,0,99.99,0,0,-17,0,0,0,0,1
98757.19,0,1,225767200,0,0,99.99,0,0,-17,0,0,0,0,1
98957.067,0,1,225767400,0,0,99.99,0,0,-17,0,0,0,0,1
99157.113,0,1,225767600,0,0,99.99,0,0,-17,0,0,0,0,1
99357.097,0,1,225767800,0,0,99.99,0,0,-17,0,0,0,0,1
99557.116,0,1,225768000,0,0,99.99,0,0,-17,0,0,0,0,1
99757.108,0,1,225768200,0,0,99.99,0,0,-17,0,0,0,0,1
99956.996,0,1,225768400,0,0,99.99,0,0,-17,0,0,0,0,1
100157.016,0,1,225768600,0,0,99.99,0,0,-17,0,0,0,0,1
100357.069,0,1,225768800,0,0,99.99,0,0,-17,0,0,0,0,1
100557.052,0,1,225769000,0,0,99.99,0,0,-17,0,0,0,0,1
100757.104,0,1,225769200,0,0,99.99,0,0,-17,0,0,0,0,1
100957.094,0,1,225769400,0,0,99.99,0,0,-17,0,0,0,0,1
101157.112,0,1,225769600,0,0,99.99,0,0,-17,0,0,0,0,1
101357.113,0,1,225769800,0,0,99.99,0,0,-17,0,0,0,0,1
101557.017,0,1,225770000,0,0,99.99,0,0,-17,0,0,0,0,1
101757.02,0,1,225770200,0,0,99.99,0,0,-17,0,0,0,0,1
101957.012,0,1,225770400,0,0,99.99,0,0,-17,0,0,0,0,1
102157.048,0,1,225770600,0,0,99.99,0,0,-17,0,0,0,0,1
102357.042,0,1,225770800,0,0,99.99,0,0,-17,0,0,0,0,1
102557.065,0,1,225771000,0,0,99.99,0,0,-17,0,0,0,0,1
102757.147,0,1,225771200,0,0,99.99,0,0,-17,0,0,0,0,1
102957.018,0,1,225771400,0,0,99.99,0,0,-17,0,0,0,0,1
103157.025,0,1,225771600,0,0,99.99,0,0,-17,0,0,0,0,1
103357.041,0,1,225771800,0,0,99.99,0,0,-17,0,0,0,0,1
103557.018,0,1,225772000,0,0,99.99,0,0,-17,0,0,0,0,1
103757.059,0,1,225772200,0,0,99.99,0,0,-17,0,0,0,0,1
103957.111,0,1,225772400,0,0,99.99,0,0,-17,0,0,0,0,1
104157.095,0,1,225772600,0,0,99.99,0,0,-17,0,0,0,0,1
104357.145,0,1,225772800,0,0,99.99,0,0,-17,0,0,0,0,1
104557.198,0,1,225773000,0,0,99.99,0,0,-17,0,0,0,0,1
104757.025,0,1,225773200,0,0,99.99,0,0,-17,0,0,0,0,1
104956.969,0,1,225773400,0,0,99.99,0,0,-17,0,0,0,0,1
105157.028,0,1,225773600,0,0,99.99,0,0,-17,0,0,0,0,1
105357.061,0,1,225773800,0,0,99.99,0,0,-17,0,0,0,0,1
105557.076,0,1,225774000,0,0,99.99,0,0,-17,0,0,0,0,1
105757.066,0,1,225774200,0,0,99.99,0,0,-17,0,0,0,0,1
105957.08,0,1,225774400,0,0,99.99,0,0,-17,0,0,0,0,1
106157.087,0,1,225774600,0,0,99.99,0,0,-17,0,0,0,0,1
106357.059,0,1,225774800,0,0,99.99,0,0,-17,0,0,0,0,1
106557.045,0,1,225775000,0,0,99.99,0,0,-17,0,0,0,0,1
106757.052,0,1,225775200,0,0,99.99,0,0,-17,0,0,0,0,1
106957.016,0,1,225775400,0,0,99.99,0,0,-17,0,0,0,0,1
107157.073,0,1,225775600,0,0,99.99,0,0,-17,0,0,0,0,1
107357.079,0,1,225775800,0,0,99.99,0,0,-17,0,0,0,0,1
107557.097,0,1,225776000,0,0,99.99,0,0,-17,0,0,0,0,1
107757.046,0,1,225776200,0,0,99.99,0,0,-17,0,0,0,0,1
107957.162,0,1,225776400,0,0,99.99,0,0,-17,0,0,0,0,1
108157.138,0,1,225776600,0,0,99.99,0,0,-17,0,0,0,0,1
108357.033,0,1,225776800,0,0,99.99,0,0,-17,0,0,0,0,1
108557.022,0,1,225777000,0,0,99.99,0,0,-17,0,0,0,0,1
108757.203,0,1,225777200,0,0,99.99,0,0,-17,0,0,0,0,1
108957.087,0,1,225777400,0,0,99.99,0,0,-17,0,0,0,0,1
109157.082,0,1,225777600,0,0,99.99,0,0,-17,0,0,0,0,1
109356.949,0,1,225777800,0,0,99.99,0,0,-17,0,0,0,0,1
109556.944,0,1,225778000,0,0,99.99,0,0,-17,0,0,0,0,1
109757.046,0,1,225778200,0,0,99.99,150836031,-338748624,1435.67,0,0,0,0,1
109957.074,0,1,225778400,0,0,99.99,150833939,-338746899,1435.63,0,0,0,0,1
110157.055,0,1,225778600,0,0,99.99,150831847,-338745174,1435.59,0,0,0,0,1
110357.087,0,1,225778800,0,0,99.99,150829756,-338743449,1435.55,0,0,0,0,1
110557.077,0,1,225779000,0,0,99.99,150827664,-338741725,1435.51,0,0,0,0,1
